User,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4768,-0.014298041,0.014642233,-0.008920814,0.014074268,-0.01765875,0.018015399,0.005764026,-0.010051477,0.014683471,0.007715085,0.010226622,0.043055904,0.000871768,-0.014773822,-0.004907204
156,-0.013290814,-0.016269348,-0.009023593,-8.36E-05,-0.003538165,0.019478969,-0.010981809,-0.007748069,-0.001340068,0.014135753,-0.001194768,-0.005888458,0.005631436,0.014152223,0.022560168
5323,-0.00808079,-0.008261647,-0.005240052,0.001877143,-0.007378592,-0.000530738,0.012647355,0.011586109,0.004024026,8.10E-05,-0.00886766,-0.002357498,0.013291454,0.006781697,-0.013740325
174,-0.015940551,-0.024773454,-0.001699478,0.005520601,0.023275182,-0.007984509,-0.003706928,-0.009816135,-0.015221825,0.021098752,0.011535681,-0.009982002,0.004509347,-0.020597399,0.006357917
4529,-0.00102432,-0.009291751,-0.010645636,0.015831307,-0.013369925,-0.012995728,-0.001516337,-0.005744068,0.00679565,-0.018665827,-0.017128767,-0.016092532,-0.004893206,0.016068641,0.012877042
783,-0.001422678,-0.002901456,-0.003644869,0.003423672,1.89E-05,-0.000349292,0.006096633,0.005154267,-0.00617172,0.000402021,-0.005022595,0.007235476,-0.002654875,0.004964307,-0.007758207
3878,-0.006409659,0.019623621,-0.017798009,0.008679451,-0.034800143,0.025056074,0.006017563,0.004313868,0.011246423,-0.016358477,0.003519164,0.025981901,0.023210788,0.008215835,0.012890442
768,5.74E-05,-0.000838885,-0.001896458,0.000274662,0.001394715,0.000731576,0.000860359,0.002127232,0.001702463,-0.001082523,-0.001216949,-0.001217664,-0.000258579,0.005381333,-0.000836523
4469,-0.002139412,-0.001048768,-0.004223525,-0.001461183,0.00339642,0.001351667,-4.31E-06,-0.001164622,-0.000785029,-0.002333226,-0.001736606,0.001323592,0.002992548,0.000662154,-0.001001274
1882,-0.005823155,-0.00265064,0.001356001,0.002308513,-0.006798866,-0.008867316,-0.002207348,0.001503838,-0.010570712,-0.010606202,0.003685835,-0.013733647,-0.002615367,0.022598089,0.002804013
4997,-0.012995902,-0.025133833,-0.077057002,-0.024441025,0.003209191,-0.029877978,-0.006297182,-0.012688816,-0.033679727,-0.029833337,-0.011799066,0.012492074,-0.012333663,0.012470637,0.005417743
2067,-0.005833612,0.01646861,-0.033954978,-0.002003262,-0.026357858,0.004311061,-0.01030614,0.013027331,-0.004222487,0.004957206,-0.022473843,-0.015390203,0.021666741,-0.006948729,-5.22E-06
3806,-0.002967497,-0.003704716,-0.005495638,-0.007492229,0.001972846,0.010106139,0.013873315,-0.017860567,-0.002360369,0.009647889,0.026834188,-0.004956707,-0.015981784,-0.002716119,0.004333208
2848,-0.007938919,-0.008993914,-0.003983938,0.004286487,-0.004450931,-0.004349352,0.002047106,-0.021701679,0.025344291,0.00201889,-0.010522566,0.004469565,0.008230145,-0.00208917,-0.003700382
4433,-0.020937165,-0.026382073,-0.015792594,0.015881333,-0.006000393,-0.047728161,-0.009989817,0.02861855,-0.012435658,-0.010361037,0.014575374,0.00864629,-0.050971504,-0.002756366,-0.022954988
3519,-0.004797248,0.001826206,0.003879716,0.000300575,-0.001966005,0.000714639,-0.012146147,0.002841821,0.006521993,-0.003659572,-0.004274629,0.000626431,0.000680244,0.002587117,-0.002962817
5338,-0.00429301,0.001332737,0.001125544,0.000175541,0.007044275,-0.008623045,0.006660258,0.001974594,-0.004658072,-0.008585388,-0.001963652,0.003849312,-0.00765475,0.01340988,0.008162569
3947,-0.001565612,-0.01047955,-0.013510306,0.003921968,-0.000328271,0.007889007,-0.016415682,-0.032421307,-0.005148716,-0.006319214,0.007701639,-0.005491385,-0.013726376,0.00825606,0.000300439
4373,-0.009569418,-0.008127075,-0.023217385,0.012254277,-0.018226027,0.014288595,-0.003926516,-0.036767635,0.010133806,0.005296807,0.025004699,-0.003509805,-0.02148561,-0.007256307,0.018537133
2092,-0.008533149,0.001005839,-0.003661259,0.003309645,0.00190429,0.010530616,0.013456907,-0.005493072,0.001022222,0.014242368,0.011282205,0.005421789,-0.000378585,0.020478907,-0.009435645
525,-0.002823563,0.001307464,-0.009761072,-0.001926431,0.001342622,0.003907283,0.000101067,0.001456423,-0.00244056,0.002191944,-0.006073136,-0.003076365,0.004179611,0.004772211,-0.000168169
4327,0.000576565,0.006717499,-0.031952806,0.01333324,-0.034775022,0.006045351,0.006799224,0.018417887,0.00516492,-0.027161357,0.011426993,-0.012910547,-0.006339878,-0.011639685,0.00370425
3048,-0.022447756,0.007116611,-0.00820421,-0.022517407,-0.008473529,-0.015972128,-0.002256943,0.014116796,-0.007342967,0.000552683,0.001164938,0.003393975,-0.002219835,-0.015992556,0.008776074
2665,-0.00533778,-0.000551251,-0.000187591,-0.005451129,0.002357355,0.005298991,-0.009398897,0.016669588,-0.006647926,0.000711715,0.007607855,0.010486633,-0.016229545,0.018201886,0.003662325
4940,-0.00792598,0.004330828,-0.005229773,0.002523671,0.001153478,-0.001324658,-0.005500853,0.000709463,0.002365086,0.000508647,0.003413141,0.001238967,-0.001009734,-0.003648429,0.011352093
